 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,,2014-07-26,,Standard Cleaning Fee,,,,,,,,,,,,2106 KQED_pechakucha
,40,2014-07-26,,A/V Sound Technician,,,,,,6.5,,,,260,,2106 KQED_pechakucha
,,2014-07-26,,Coffee Service,,,,,,,,,,0,,2106 KQED_pechakucha
,,2014-07-26,,Security,,,,,,,,,,0,,2106 KQED_pechakucha
,,2014-07-26,,Total,,,,,,,,,,260,,2106 KQED_pechakucha
,295,,2015-04-21,On Broadway,0.8,,,,,,3,,885,177.0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,Atrium,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,OMI Gallery,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,Meridian Room,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,Uptown,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,Downtown,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,East Oakland,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,West Oakland,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,75,,2015-04-21,Set Up & Reset,,,,,,,2,,150,150,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,40,,2015-04-21,IHO Staffing,,,,,,,5,,200,200,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,A/V Sound Technician,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,12,,2015-04-21,Coffee Service ,,,,,,,2,,24,24,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,Security,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,,2015-04-21,Total,,,,,,,,,1259,551,Non Member Weekday Rate - Sponsorhsip,315011-2 Cleantech Open paid
,,2014-05-28,,On Broadway,,,,,,,,,,0,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,Atrium,,,,,,,,,,0,Full Time Member Weekday Rate,2063 Joanne da Luz
,60,2014-05-28,,Omi Gallery,,,,,,2,,,,120,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,Jingletown Lounge (Mezzanine),,,,,,,,,,0,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,Green Room,,,,,,,,,,,Full Time Member Weekday Rate,2063 Joanne da Luz
,25,2014-05-28,,Set Up & Break Down,,,,,,1.5,,,,37.5,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,Large Party Cleaning Fee,,,,,,,,,,0,Full Time Member Weekday Rate,2063 Joanne da Luz
,waved,2014-05-28,,Standard Cleaning Fee,,,,,,Flat Fee,,,,,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,A/V Technician,,,,,,,,,,0,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,Coffee Service,,,,,,,,,,0,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,Security,,,,,,,,,,0,Full Time Member Weekday Rate,2063 Joanne da Luz
,,2014-05-28,,Total,,,,,,,,,,157.5,Full Time Member Weekday Rate,2063 Joanne da Luz
,315,,2014-10-11,On Broadway,0.6,,,,,3,,,945,378,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Atrium,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Jingletown Lounge,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,OMI Gallery,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Meridian Room,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Uptown,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Downtown,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,East Oakland,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,West Oakland,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Early Set Up Fee,,,,,,,,,,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,75,,2014-10-11,Set Up & Break Down,,,,,,5,,,375,375,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Large Party Janitorial Fee,,,,,,,,,,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,250,,2014-10-11,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,A/V Technician,,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Coffee Service ($10/thermos),,,,,,,,,0,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,,,,,,,,,,,0,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,,,2014-10-11,Total,,,,,,,,,1570,1003,Non-Member Weekend Rate - Reoccuring event discount,2107 Fall Wine Event
,295,,2015-04-21,On Broadway,0.8,,,,,,3,,885,177.0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Atrium,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,OMI Gallery,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Meridian Room,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Uptown,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
,,,2015-04-21,Downtown,,,,,,,,,,0,Non Member Weekday Rate - Sponsorhsip,315011 Cleantech Open
