 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,,2014-06-26,,Coffee Service,,,,,,,,,,0,Part Time Member Weekday Rate,2060 EBASE
,,2014-06-26,,Security,,,,,,,,,,0,Part Time Member Weekday Rate,2060 EBASE
,,2014-06-26,,Total,,,,,,,,,,912.5,Part Time Member Weekday Rate,2060 EBASE
,,,2014-11-19,On Broadway,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,110,,2014-11-19,Atrium,,,,,,2,,,220,220,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,Jingletown Lounge,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,OMI Gallery,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,Meridian Room,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,Uptown,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,Downtown,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,East Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,West Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,50,,2014-11-19,Set Up & Break Down,,,,,,2,,,100,100,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,250,,2014-11-19,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,40,,2014-11-19,Sound Tech - a/v equipment set up,,,,,,2,,,80,80,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,,,,,,,,,,,0,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,,,2014-11-19,Total,,,,,,,,,650,650,Full Time Member Weekday Rate,2161 Amigos_HostTraining
,255,,3/28-3/29,On Broadway,0.7,,,,,,16,,4080,1224.0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,864,,3/28-3/29,Atrium (50% cancellation deposit),0.5,,,,,,1,,864,432,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,Jingletown Lounge,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,OMI Gallery,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,Meridian Room,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,Uptown,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,Downtown,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,East Oakland,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,West Oakland,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,75,,3/28-3/29,Set Up & Reset,,,,,,,4,,300,300,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,40,,3/28-3/29,IHO Staffing,,,,,,,10.5,,420,420,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,500,,3/28-3/29,Standard Janitorial Fee/Waste Removal,,,,,,,Flat Fee,,500,500,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,A/V Technician,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,Coffee Service ,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,Security,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,,,,,,,,,,,0,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,,,3/28-3/29,Total,,,,,,,,,6164,2876,Part Time Member Weekend Rate  - Multi Day Discount,315002-2 Develop Yourself 
,315,,2015-01-17,On Broadway,,,,,,4,,,1260,1260,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,Atrium,,,,,,,,,0,0,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,Jingletown Lounge,,,,,,,,,0,0,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,OMI Gallery,,,,,,,,,0,0,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,Meridian Room,,,,,,,,,0,0,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,Uptown,,,,,,,,,0,0,Non Member Weekend Rate,2167 Sandra Lawson
,95,,2015-01-17,Downtown,1,,,,,7,,,665,0,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,East Oakland,,,,,,,,,0,0,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,West Oakland,,,,,,,,,0,0,Non Member Weekend Rate,2167 Sandra Lawson
,75,,2015-01-17,Set Up & Break Down,,,,,,3,,,225,225,Non Member Weekend Rate,2167 Sandra Lawson
,250,,2015-01-17,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Non Member Weekend Rate,2167 Sandra Lawson
,40,,2015-01-17,A/V Technician,,,,,,6,,,240,240,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,,,,,,,,,,,0,Non Member Weekend Rate,2167 Sandra Lawson
,,,2015-01-17,Total,,,,,,,,,2640,1975,Non Member Weekend Rate,2167 Sandra Lawson
,50,?,,On Broadway Room Rental,,,,,,Flat Fee,,,,50,,2092 EBASE Cancel Fee
,,?,,Total,,,,,,,,,,50,,2092 EBASE Cancel Fee
,,,2015-05-20,On Broadway,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,110,,2015-05-20,Atrium,,,,,,2.5,,,275,275,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Jingletown Lounge,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,OMI Gallery,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Meridian Room,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Uptown,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Downtown,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,East Oakland,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,West Oakland,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,50,,2015-05-20,Set Up & Break Down,,,,,,2,,,100,100,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,40,,2015-05-20,IHO Staffing,,,,,,5.5,,,220,220,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,250,,2015-05-20,Standard Janitorial/Waste Removal Fee,,,,,,Flat Fee,,,250,250,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,A/V Sound Technician,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Coffee Service,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Compostables,,,,,,,,,,,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Security,,,,,,,,,,,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,,,,,,,,,,,0,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,,,2015-05-20,Total,,,,,,,,,845,845,Full Time Member Weekday Rate,415012 Uptima 2.Oakland Demo
,45,,2015-03-04,Meridian Room,,,,,,3,,,135,135,Full Time Member Weekday Rate,2197 Beyond Sep_SeriesII_March
,45,,2015-03-11,Meridian Room,,,,,,3,,,135,135,Full Time Member Weekday Rate,2197 Beyond Sep_SeriesII_March
,45,,2015-03-18,OMI Gallery,,,,,,3,,,135,135,Full Time Member Weekday Rate,2197 Beyond Sep_SeriesII_March
,45,,2015-03-25,Meridian Room,,,,,,3,,,135,135,Full Time Member Weekday Rate,2197 Beyond Sep_SeriesII_March
,,,2015-03-25,,,,,,,,,,,0,Full Time Member Weekday Rate,2197 Beyond Sep_SeriesII_March
,,,2015-03-25,Total,,,,,,,,,540,540,Full Time Member Weekday Rate,2197 Beyond Sep_SeriesII_March
,,,2015-06-03,On Broadway,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,150,,2015-06-03,Atrium ,,,,,,,2,,300,300,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Jingletown Lounge,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,OMI Gallery,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Meridian Room,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Uptown,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Downtown,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,East Oakland,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,West Oakland,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,75,,2015-06-03,Set Up & Reset ,,,,,,,2,,150,150,Part Time Member Weekday Rate,515005 PAID Mills College
,40,,2015-06-03,IHO Staffing,,,,,,,4,,160,160,Part Time Member Weekday Rate,515005 PAID Mills College
,250,,2015-06-03,Janitorial/Waste Removal Fee,,,,,,,Flat Fee,,250,250,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Additional Services As Needed,,,,,,,,,,,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Speciality A/V Sound Technician ,,,,,,,,,,0,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Coffee Service ,,,,,,,,,,,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Compostable Dishware & Silverware,,,,,,,,,,,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Security (Outsourced upon request),,,,,,,,,,,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Early Set Up Fee,,,,,,,,,,,Part Time Member Weekday Rate,515005 PAID Mills College
,,,2015-06-03,Total,,,,,,,,,,860,Part Time Member Weekday Rate,515005 PAID Mills College
,295,,2014-01-14,On Broadway,,,,,,2.5,,,737.5,737.5,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Atrium,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,OMI Gallery,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Meridian Room,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Uptown,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Downtown,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,East Oakland,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,West Oakland,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Early Set Up Fee,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,50,,2014-01-14,Set Up & Break Down,,,,,,2,,,100,100,Non Member Weekday Rate,2193 Rosenberg Foundation
,250,,2014-01-14,Standard Cleaning Fee,,,,,,Flat Fee,,,250,250,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,A/V Technician,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Coffee Service ($10/thermos),,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,,,,,,,,,,,0,Non Member Weekday Rate,2193 Rosenberg Foundation
,,,2014-01-14,Total,,,,,,,,,1087.5,1087.5,Non Member Weekday Rate,2193 Rosenberg Foundation
,210,,2015-05-02,On Broadway,,0.15,,,,,7,,1470,1249.5,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,Atrium,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,105,,2015-05-02,Jingletown Lounge,,0.15,,,,,3,,315,267.75,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,OMI Gallery,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,Meridian Room,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,60,,2015-05-02,Uptown,,0.15,,,,,3,,180,153,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,Downtown,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,East Oakland,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,West Oakland,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,75,,2015-05-02,Set Up & Reset,,,,,,,3,,225,225,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,40,,2015-05-02,IHO Staffing,,,,,,,10,,400,400,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,500,,2015-05-02,Large Party Janitorial Fee,,,,,,,Flat Fee,,500,500,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,A/V Technician,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,Coffee Service ,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,Security,,,,,,,,,0,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,,,,,,,,,,,0,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,,,2015-05-02,Total,,,,,,,,,3090,2795.25,Full Time Member Weekend Rate -- Full day discount,315008-2 Kapor Center
,45,,2014-10-06,Meridian Room,,,,,,2.5,,,112.5,112.5,Full Time Member Weekday Rate,2146 Beyond the Culture_Oct
,45,,2014-10-13,Meridian Room,,,,,,2.5,,,112.5,112.5,Full Time Member Weekday Rate,2146 Beyond the Culture_Oct
,45,,2014-10-20,Meridian Room,,,,,,2.5,,,112.5,112.5,Full Time Member Weekday Rate,2146 Beyond the Culture_Oct
,45,,2014-10-27,Meridian Room,,,,,,2.5,,,112.5,112.5,Full Time Member Weekday Rate,2146 Beyond the Culture_Oct
,,,2014-10-27,,,,,,,,,,,0,Full Time Member Weekday Rate,2146 Beyond the Culture_Oct
,,,2014-10-27,Total,,,,,,,,,450,450,Full Time Member Weekday Rate,2146 Beyond the Culture_Oct
,,,2014-11-04,On Broadway,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,195,,2014-11-04,Atrium,,,,,,2,,,390,390,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,OMI Gallery,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,Meridian Room,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,Uptown,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,Downtown,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,East Oakland,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,West Oakland,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,50,,2014-11-04,Set Up & Break Down,,,,,,2,,,100,100,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,A/V Technician,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,250,,2014-11-04,Standard Cleaning Fee,,,,,,Flat Fee,,,250,250,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,80,,2014-11-04,Coffee Service for 100,,,,,,Flat Fee,,,80,80,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,42.09,,2014-11-04,Compostables,,,,,,Flat Fee,,,42,42,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,,,,,,,,,,,0,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-11-04,Total,,,,,,,,,862,862,Non Member Weekday Rate,2160 BK Publishers_LockedDown
,,,2014-10-16,On Broadway,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Atrium,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,115,,2014-10-16,OMI Gallery,,,,,,1,,,115,115,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Meridian Room,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Uptown,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Downtown,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,East Oakland,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,West Oakland,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Early Set Up Fee,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,50,,2014-10-16,Set Up & Break Down,,,,,,1.5,,,75,75,Non Member Weekday Rate,2156 HERA_ScotchTasting
,75,,2014-10-16,Small Event Janitorial Fee,,,,,,Flat Fee,,,75,75,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,A/V Technician,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Coffee Service ($10/thermos),,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,,,,,,,,,,,0,Non Member Weekday Rate,2156 HERA_ScotchTasting
,,,2014-10-16,Total,,,,,,,,,265,265,Non Member Weekday Rate,2156 HERA_ScotchTasting
,938.75,,2015-02-22,50% Deposit,,,,,,,1,,938.75,938.75,,215009-2 CIIS Cancel
,-450,,2015-02-22,Credit,,,,,,,1,,-450,-450,,215009-2 CIIS Cancel
,,,2015-02-22,,,,,,,,,,,0,,215009-2 CIIS Cancel
,,,2015-02-22,Total Owed,,,,,,,,,488.75,488.75,,215009-2 CIIS Cancel
,180,,2014-10-29,On Broadway,,,,,,2,,,360,360,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,Atrium,,,,,,,,,0,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,Jingletown Lounge,,,,,,,,,0,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,60,,2014-10-29,OMI Gallery,,,,,,1,,,60,60,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,Meridian Room,,,,,,,,,0,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,Uptown,,,,,,,,,0,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,Downtown,,,,,,,,,0,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,East Oakland,,,,,,,,,0,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,West Oakland,,,,,,,,,0,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,50,,2014-10-29,Set Up & Break Down,,,,,,3.5,,,175,175,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,350,,2014-10-29,Large Party Janitorial Fee,,,,,,Flat Fee,,,350,350,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,,,,,,,,,,,0,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2014-10-29,Total,,,,,,,,,945,945,Full Time Office Member Weekday Rate,2171 Courtney Ruby for Mayor
,,,2015-10-09,On Broadway,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,140,,2015-10-09,Atrium,0.55,,,,,,4.5,,630,283.5,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Jingletown Lounge,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,OMI Gallery,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Meridian Room,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Uptown,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Downtown,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,East Oakland,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,West Oakland,,,,,,,,,,0,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,75,,2015-10-09,Set Up & Reset,,,,,,,2.5,,187.5,187.5,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,40,,2015-10-09,IHO Staffing,,,,,,,7,,280,280,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,150,,2015-10-09,Partial Janitorial Service,,,,,,,Flat Fee,,150,150,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Additional Services As Needed,,,,,,,,,,,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,40,,2015-10-09,Speciality A/V Sound Technician (set up only),,,,,,,2,,80,80,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Coffee Service,,,,,,,,,,,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Compostable Dishware & Silverware,,,,,,,,,,,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Security (Outsourced upon request),,,,,,,,,,,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,,,2015-10-09,Sub Total,,,,,,,,,1327.5,981,Full Time Member Weekend Rate - Sponsorship Discount,715014 Uptima Coop Challenge
,180,,2015-11-19,On Broadway,,,,,,,2.5,,450,450,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Atrium,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Jingletown Lounge,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,OMI Gallery,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Meridian Room,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Uptown,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Downtown,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,East Oakland,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,West Oakland,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,50,,2015-11-19,Set Up & Reset,,,,,,,2,,100,100,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,40,,2015-11-19,IHO Staffing,,,,,,,4.5,,180,180,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,250,,2015-11-19,Standard Janitorial/Waste Removal Fee,,,,,,,Flat Fee,,250,250,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Additional Services As Needed,,,,,,,,,,,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Speciality A/V Sound Technician,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Coffee Service,,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,"Compostables: cutlery, sm plates, napkins, cups",,,,,,,,,,0,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Security (Outsourced upon request),,,,,,,,,,,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,,,2015-11-19,Total,,,,,,,,,980,980,Full Time Member Weekday Rate,815001 SELC Fall Celebration
,225,,2015-03-04,On Broadway,,,,,,,4,,900,900,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,Atrium,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,Jingletown Lounge,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,OMI Gallery,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,Meridian Room,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,Uptown,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,Downtown,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,East Oakland,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,West Oakland,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,75,,2015-03-04,Set Up & Break Down,,,,,,,2,,150,150,Part-time Member Weekday Rate,215010 Ever Forward Club
,30,,2015-03-04,IHO Staffing,,,,,,,6,,180,180,Part-time Member Weekday Rate,215010 Ever Forward Club
,350,,2015-03-04,Standard Janitorial/Waste Removal Fee,,,,,,,Flat Fee,,350,350,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,A/V Technician,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,Coffee Service ,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
,,,2015-03-04,Security,,,,,,,,,,0,Part-time Member Weekday Rate,215010 Ever Forward Club
