day_type,day_dur,discount_type,membership_level,ROOM,AMOUNT,EFF_RATE
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,ATRIUM,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,PART_TIME,BROADWAY,245.00,245.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,EAST_OAK,35.00,35.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,WEST_OAK,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,UPTOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,MERIDIAN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,OMI,90.00,90.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,JINGLETOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,ATRIUM,140.00,70.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,BROADWAY,217.50,217.50
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,EAST_OAK,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,WEST_OAK,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,UPTOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,MERIDIAN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,OMI,85.00,85.00
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,JINGLETOWN,,
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,ATRIUM,175.00,157.50
WEEKEND,PARTIAL_DAY,NO_DISCOUNT,unknown,BROADWAY,275.00,275.00
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,EAST_OAK,65.00,55.25
WEEKEND,FULL_DAY,DISCOUNT,NON_MEMBER,WEST_OAK,,
