invoice,DATE,invoice_date,ROOM,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership_level,discount_type,day_type,day_dur,EFF_RATE
115014,2015-02-12,2015-01-28,BROADWAY,180.00, 2.00,360.00, 0.00,360.00,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,180.00
115015,2014-02-12,2015-01-28,OMI,60.00, 2.00,120.00, 0.00,120.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,60.00
115016,2015-02-15,2015-01-30,BROADWAY,315.00, 4.50,1417.50, 1.00, 0.00,NON_MEMBER,FRIEND,WEEKEND,FULL_DAY, 0.00
1215001,2016-02-04,2015-12-08,BROADWAY,225.00, 2.50,562.50, 0.50,281.25,PART_TIME,FOUNDER,WEEKDAY,PARTIAL_DAY,112.50
1215002,2015-12-15,2015-12-02,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
1215003,2016-01-20,2015-12-02,BROADWAY,180.00, 3.00,540.00, 1.00, 0.00,FULL_TIME,FOUNDER,WEEKDAY,PARTIAL_DAY, 0.00
1215004,2016-01-10,2015-12-10,BROADWAY,255.00, 9.00,2295.00, 0.40,1377.00,PART_TIME,unknown,WEEKEND,FULL_DAY,153.00
1215005,2015-12-14,2015-12-11,BROADWAY,180.00, 3.50,630.00, 0.00, 0.00,FULL_TIME,NONE,WEEKDAY,FULL_DAY, 0.00
1215007,2015-12-21,2015-12-11,ATRIUM,110.00, 3.50,385.00, 0.00,385.00,FULL_TIME,NONE,WEEKDAY,FULL_DAY,110.00
1215008,2016-01-24,2015-12-11,ATRIUM,225.00, 2.00,450.00, 0.00,450.00,NON_MEMBER,NONE,WEEKEND,PARTIAL_DAY,225.00
2035,2014-04-25,2014-04-25,OMI,85.00, 5.00,425.00, 0.00,425.00,unknown,NONE,WEEKDAY,FULL_DAY,85.00
2035,2014-04-25,2014-04-25,ATRIUM,130.00, 5.00,650.00, 0.00,650.00,unknown,NONE,WEEKDAY,FULL_DAY,130.00
2035,2014-04-25,2014-04-25,BROADWAY,205.00, 5.00,1025.00, 0.00,1025.00,unknown,NONE,WEEKDAY,FULL_DAY,205.00
2035,2014-04-25,2014-04-25,JINGLETOWN,185.00, 5.00,925.00, 0.00,925.00,unknown,NONE,WEEKDAY,FULL_DAY,185.00
2036,2014-04-07,2014-04-07,BROADWAY,275.00, 4.00,1100.00, 0.00,1100.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,275.00
2037,5/17 & 5/18,,BROADWAY,205.00,16.00,3280.00, 0.10,2952.00,unknown,unknown,,FULL_DAY,184.50
2038,2014-06-21,2014-06-21,OMI,85.00, 6.00,510.00, 0.00,510.00,unknown,NONE,WEEKEND,FULL_DAY,85.00
2038,2014-06-21,2014-06-21,ATRIUM,130.00, 6.00,780.00, 0.00,780.00,unknown,NONE,WEEKEND,FULL_DAY,130.00
2038,2014-06-21,2014-06-21,BROADWAY,205.00, 6.00,1230.00, 0.00,1230.00,unknown,NONE,WEEKEND,FULL_DAY,205.00
2038,2014-06-21,2014-06-21,JINGLETOWN,115.00, 6.00,690.00, 0.00,690.00,unknown,NONE,WEEKEND,FULL_DAY,115.00
2039,2014-05-24,2014-05-24,BROADWAY,140.00, 7.00,980.00, 0.00,980.00,unknown,NONE,WEEKEND,FULL_DAY,140.00
2039,2014-05-24,2014-05-24,OMI,60.00, 4.00,240.00, 0.00,240.00,unknown,NONE,WEEKEND,FULL_DAY,60.00
2039,2014-05-24,2014-05-24,ATRIUM,90.00, 4.00,360.00, 0.00,360.00,unknown,NONE,WEEKEND,FULL_DAY,90.00
2039,2014-05-24,2014-05-24,DOWNTOWN,25.00, 4.00,100.00, 0.00,100.00,unknown,NONE,WEEKEND,FULL_DAY,25.00
2041,2014-04-09,2014-04-04,BROADWAY,250.00,,250.00, 0.00,250.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,
2042,2014-04-22,2014-04-22,ATRIUM,90.00, 2.50,225.00, 0.00,225.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,90.00
2043,2014-07-12,2014-07-12,OMI,85.00, 7.50,637.50, 0.10,573.75,unknown,unknown,WEEKEND,FULL_DAY,76.50
2043,2014-07-12,2014-07-12,BROADWAY,205.00,15.00,3075.00, 0.10,2767.50,unknown,unknown,WEEKEND,FULL_DAY,184.50
2044,2014-05-10,2014-04-27,BROADWAY,275.00, 3.00,825.00, 0.00,825.00,unknown,NONE,WEEKEND,PARTIAL_DAY,275.00
2045,2014-06-14,2014-04-27,BROADWAY,295.00, 4.00,1180.00, 0.00,1180.00,unknown,NONE,WEEKEND,FULL_DAY,295.00
2046,2014-05-08,2014-05-01,BROADWAY,140.00, 3.00,420.00, 0.00,420.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,140.00
2047,2014-03-26,2014-05-01,BROADWAY,140.00, 2.50,350.00, 0.00,350.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,140.00
2048,2014-04-30,2014-05-01,ATRIUM,110.00, 2.50,275.00, 0.00,275.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,110.00
2049,2014-06-18,2014-05-01,ATRIUM,110.00, 2.50,275.00, 0.00,275.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,110.00
2050,2014-05-28,2014-05-01,BROADWAY,140.00, 2.50,350.00, 0.00,350.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,140.00
2051,2014-06-05,2014-06-05,ATRIUM,110.00, 2.50,275.00, 0.00,247.50,unknown,NONE,WEEKDAY,PARTIAL_DAY,99.00
2052,2014-05-03,2014-05-03,ATRIUM,175.00, 2.50,437.50, 0.00,393.75,unknown,NONE,WEEKEND,PARTIAL_DAY,157.50
2054,2014-05-06,2014-05-06,OMI,95.00, 4.00,380.00, 0.00,380.00,unknown,NONE,WEEKDAY,FULL_DAY,95.00
2055,2014-05-24,2014-05-24,BROADWAY,140.00, 7.00,980.00, 0.00,980.00,unknown,NONE,WEEKEND,FULL_DAY,140.00
2055,2014-05-24,2014-05-24,OMI,60.00, 4.00,240.00, 0.00,240.00,unknown,NONE,WEEKEND,FULL_DAY,60.00
2055,2014-05-24,2014-05-24,ATRIUM,90.00, 4.00,360.00, 0.00,360.00,unknown,NONE,WEEKEND,FULL_DAY,90.00
2055,2014-05-24,2014-05-24,DOWNTOWN,25.00, 4.00,100.00, 0.00,100.00,unknown,NONE,WEEKEND,FULL_DAY,25.00
2055,2014-05-24,2014-05-24,MERIDIAN, 0.00, 4.00, 0.00, 1.00, 0.00,unknown,NONE,WEEKEND,FULL_DAY, 0.00
2056,2014-05-10,2014-05-08,BROADWAY,275.00, 3.00,825.00, 0.00,825.00,unknown,NONE,WEEKEND,FULL_DAY,275.00
2056,2014-05-10,2014-05-08,ATRIUM,130.00, 3.00,390.00, 0.00,390.00,unknown,NONE,WEEKEND,FULL_DAY,130.00
2056,2014-05-10,2014-05-08,OMI, 0.00,, 0.00, 1.00, 0.00,unknown,NONE,WEEKEND,FULL_DAY, 0.00
2056,2014-05-10,2014-05-08,JINGLETOWN, 0.00,, 0.00, 1.00, 0.00,unknown,NONE,WEEKEND,FULL_DAY, 0.00
2057,2014-05-31,2014-05-09,BROADWAY,255.00, 5.50,1402.50, 0.00,1402.50,PART_TIME,NONE,WEEKEND,FULL_DAY,255.00
2057,2014-05-31,2014-05-09,ATRIUM,150.00, 5.50,825.00, 0.00,825.00,PART_TIME,NONE,WEEKEND,FULL_DAY,150.00
2058,2014-06-05,2014-06-05,ATRIUM,110.00, 3.00,330.00, 0.00,297.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,99.00
2059,2014-09-17,2014-05-13,BROADWAY,295.00, 3.50,1032.50, 0.00,1032.50,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,295.00
2059,2014-09-17,2014-05-13,ATRIUM,195.00, 3.50,682.50, 0.00,682.50,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,195.00
2060,2014-06-26,2014-05-13,BROADWAY,225.00, 2.50,562.50, 0.00,562.50,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2061,2014-09-12,2014-05-14,ATRIUM,110.00, 1.00,110.00, 0.00,110.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,110.00
2062,2014-05-28,2014-05-14,OMI,60.00, 2.00,120.00, 0.00,120.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,60.00
2063,2014-05-28,2014-05-14,OMI,60.00, 2.00,120.00, 0.00,120.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,60.00
2064,2014-05-28,2014-05-16,ATRIUM,90.00, 3.00,270.00, 0.00,270.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,90.00
2065,2014-05-28,2014-05-14,OMI,60.00, 2.00,120.00, 0.00,120.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,60.00
2067,2014-06-27,2014-05-21,BROADWAY,295.00, 2.00,590.00, 0.00,590.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
2068,2014-05-31,2014-05-27,BROADWAY,255.00, 5.50,1402.50, 0.00,1402.50,PART_TIME,NONE,WEEKDAY,FULL_DAY,255.00
