invoice,DATE,# rooms,hours
415013 Beneficial State FDN,2015-04-15,1.0,
415013-2 Beneficial State FDN,2015-04-15,1.0,
415014 CJ Callen,2015-04-15,2.0,
415014-2 CJ Callen,2015-04-15,2.0,
415014-3 CJ Callen,2015-04-15,2.0,
415015 Sound of Torture,2015-05-05,1.0,5.0
415016 FVLC Be Brave,2015-09-18,1.0,7.0
415017 Loudspeaker Films,2015-05-09,1.0,6.5
415017-2 Loudspeaker Films ,2015-05-09,1.0,4.5
415018 Worksafe,2015-05-21,1.0,4.0
415018-2 Worksafe ,2015-05-21,1.0,4.5
415019 HERA 10th Anniversary,2015-09-24,3.0,9.5
512003 Facebook HR,2015-06-09,2.0,5.0
515001 HipHopForChange,2015-07-04,1.0,10.0
515002 Racial Equitecture,2015-05-27,1.0,
515002 Racial Equitecture,2015-06-03,1.0,
515002 Racial Equitecture,2015-06-10,1.0,
515002 Racial Equitecture,2015-06-17,1.0,
515002 Racial Equitecture,2015-06-24,1.0,
515004 Youth HUB Pitch Event ,2015-05-23,4.0,8.0
515005 PAID Mills College,2015-06-03,1.0,4.0
515006 CODE2040,2015-05-29,1.0,4.5
615001-2 Praxis,2015-10-23,1.0,7.0
615002-2 IHO Whole Person,2015-06-07,4.0,12.25
615003 Marian Farms,2015-06-23,1.0,5.0
615004 BGC Hackathon,2015-06-19,,
615005-2 Food First,2015-10-16,2.0,5.5
615006 BaseCamp,2015-07-10,,
715001 WPC,2011-11-12,2.0,7.0
715002 Bike East Bay,2015-11-12,2.0,6.0
715003-2 National Poetry Slam,2015-08-14,1.0,6.5
715004-2 BART,2015-07-27,1.0,3.0
715004-2 PAID_BART ,2015-07-27,1.0,3.0
715005 Paycation Launch,2011-07-18,1.0,7.0
715006 BeThePeace,2011-09-18,1.0,7.5
715007 Pecha Kucha,2011-08-13,1.0,6.0
715008 Ada Initiative,2015-08-11,1.0,4.0
715008-2 Ada Initiative,2015-08-11,1.0,4.0
715009 HacktheHood,2015-08-12,2.0,4.5
715010 TriNet,2015-09-16,1.0,5.0
715011 Food Craft Institute,2015-09-17,1.0,5.0
715012 Urban Beauty Inc,2015-11-15,2.0,8.5
715012-3 Urban Beauty Inc,2015-11-15,3.0,9.0
715013 Dinner Lab,2015-08-08,1.0,7.0
715013-2 Dinner Lab,2015-08-08,1.0,7.5
715014 Uptima Coop Challenge,2015-10-09,1.0,9.0
815001-2 SELC Fall Celebration,2015-11-19,1.0,4.5
815002 Occur Award Dinner,2015-10-15,1.0,4.5
815002-2 Occur Award Dinner ,2015-10-15,3.0,8.0
815003 Piedmont,2015-11-14,2.0,7.5
815003-2 Piedmont,2015-11-07,2.0,11.0
815003-3 Piedmont,2015-11-07,2.0,11.5
815003-4 Piedmont,2015-11-07,2.0,11.5
815004 Raz vocal productions ,2015-09-26,1.0,10.0
815004-2 Raz vocal production,2015-09-26,1.0,10.0
815005 Oak Food Policy Council,2015-11-01,1.0,5.0
815005-2 Oak Food Policy Coun,2015-11-01,1.0,5.0
815006 Meridian Don Michael,2015-10-24,1.0,9.0
815007 Oakland Museum,2015-10-04,2.0,9.5
815008-2 Trap House,2015-09-03,1.0,4.0
815009 Our City,2015-08-18,1.0,
815010 OMF,2015-09-23,1.0,5.5
815011 United Roots ,2015-08-22,1.0,5.0
815012 Laura Futransky,2015-08-28,1.0,5.5
815013 Prep2Prep,2015-08-29,1.0,5.5
815014 Dancin Power,2015-03-26,1.0,7.0
815016 Forward Together,2015-09-15,2.0,4.5
915001 Johnson Bar Mitzvah,2015-03-12,1.0,7.0
915002 Teach for America Oak,2015-10-01,1.0,4.0
915003 USF,2015-11-18,1.0,4.0
915004 Redwood Day School,2016-04-02,4.0,12.5
915005 Better Ventures,2015-09-29,1.0,4.5
915006-2 EB College Fund_Memb,2015-10-21,1.0,3.5
915007 Nancy Skinner,2015-10-07,1.0,3.0
915008 APEN_Member,2015-10-28,1.0,4.0
915009 BaseCamp_WOI,2015-11-21,1.0,9.5
915010 sfnoir&Registry,2015-10-03,1.0,5.5
915010-2 sfnoir&Registry,2015-10-03,3.0,5.5
915010-3 sfnoir&Registry,2015-10-03,3.0,5.5
915010-3 sfnoir&Registry (2),2015-10-03,3.0,5.5
915011 RBGB_JoanOsato,2015-10-22,1.0,5.0
915012 YMCA,2015-10-06,1.0,5.0
915013 Grantees Celebration,2015-09-30,1.0,6.5
915013-2 Grantees Celebration,2015-09-30,1.0,5.5
915014 Dellums Institute,2015-12-05,2.0,5.0
915014-2 Dellums Institute,2016-01-29,2.0,5.0
915015 Friedns of Parks&Rec,2016-05-12,4.0,6.5
