invoice,invoice_date,DATE,item_type,item,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership,discount_type,day_type,day_type2,day_dur
715009 HacktheHood,2015-07-22,2015-08-12,ROOM,BROADWAY,180.0,2.5,450.0,0.0,450.0,FULL-TIME,NONE,WEEKDAY,weekday,
715009 HacktheHood,2015-07-22,2015-08-12,ROOM,ATRIUM,110.0,2.5,275.0,0.5,137.5,FULL-TIME,N/S,WEEKDAY,weekday,
715009 HacktheHood,2015-07-22,2015-08-12,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.0,150.0,FULL-TIME,NONE,WEEKDAY,weekday,
715009 HacktheHood,2015-07-22,2015-08-12,SERVICE,STAFFING,40.0,4.5,180.0,0.0,180.0,FULL-TIME,NONE,WEEKDAY,weekday,
715009 HacktheHood,2015-07-22,2015-08-12,SERVICE,JANITORIAL,350.0,1.0,350.0,0.0,350.0,FULL-TIME,NONE,WEEKDAY,weekday,
715009 HacktheHood,2015-07-22,2015-08-12,SERVICE,A/V,40.0,4.0,160.0,0.0,160.0,FULL-TIME,NONE,WEEKDAY,weekday,
715009 HacktheHood,2015-07-22,2015-08-12,ITEM_TOT,,,,1565.0,0.08785942492012777,1427.5,FULL-TIME,N/S,WEEKDAY,weekday,
715008 Ada Initiative,2015-07-22,2015-08-11,ROOM,BROADWAY,150.0,2.0,300.0,0.0,300.0,PART-TIME,NONE,WEEKDAY,weekday,
715008 Ada Initiative,2015-07-22,2015-08-11,SERVICE,SETUP_RESET,50.0,2.0,100.0,0.0,100.0,PART-TIME,NONE,WEEKDAY,weekday,
715008 Ada Initiative,2015-07-22,2015-08-11,SERVICE,STAFFING,35.0,4.0,140.0,0.0,140.0,PART-TIME,NONE,WEEKDAY,weekday,
715008 Ada Initiative,2015-07-22,2015-08-11,SERVICE,JANITORIAL,150.0,1.0,150.0,0.0,150.0,PART-TIME,NONE,WEEKDAY,weekday,
715008 Ada Initiative,2015-07-22,2015-08-11,ITEM_TOT,,,,690.0,0.0,690.0,PART-TIME,NONE,WEEKDAY,weekday,
715007 Pecha Kucha,2015-07-21,2011-08-13,ROOM,BROADWAY,180.0,3.0,540.0,1.0,0.0,FULL-TIME,FOUNDER,WEEKDAY,weekend,
715007 Pecha Kucha,2015-07-21,2011-08-13,SERVICE,SETUP_RESET,75.0,3.0,225.0,1.0,0.0,FULL-TIME,FOUNDER,WEEKDAY,weekend,
715007 Pecha Kucha,2015-07-21,2011-08-13,SERVICE,STAFFING,40.0,5.5,220.0,0.0,220.0,FULL-TIME,FOUNDER,WEEKDAY,weekend,
715007 Pecha Kucha,2015-07-21,2011-08-13,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,FULL-TIME,FOUNDER,WEEKDAY,weekend,
715007 Pecha Kucha,2015-07-21,2011-08-13,SERVICE,A/V,30.0,5.0,150.0,0.0,150.0,FULL-TIME,FOUNDER,WEEKDAY,weekend,
715007 Pecha Kucha,2015-07-21,2011-08-13,ITEM_TOT,,,,1385.0,0.552346570397112,620.0,FULL-TIME,FOUNDER,WEEKDAY,weekend,
715006 BeThePeace,2015-07-20,2011-09-18,ROOM,BROADWAY,255.0,5.0,1275.0,0.25,956.25,N/S,MULTIROOM,WEEKEND,weekend,
715006 BeThePeace,2015-07-20,2011-09-18,SERVICE,SETUP_RESET,50.0,2.5,125.0,0.0,125.0,N/S,MULTIROOM,WEEKEND,weekend,
715006 BeThePeace,2015-07-20,2011-09-18,SERVICE,STAFFING,35.0,7.5,262.5,0.0,262.5,N/S,MULTIROOM,WEEKEND,weekend,
715006 BeThePeace,2015-07-20,2011-09-18,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,N/S,MULTIROOM,WEEKEND,weekend,
715006 BeThePeace,2015-07-20,2011-09-18,SERVICE,A/V,40.0,7.0,280.0,0.0,280.0,N/S,MULTIROOM,WEEKEND,weekend,
715006 BeThePeace,2015-07-20,2011-09-18,ITEM_TOT,,,,2192.5,0.14538198403648805,1873.75,N/S,MULTIROOM,WEEKEND,weekend,
715005 Paycation Launch,2015-07-17,2011-07-18,ROOM,BROADWAY,210.0,3.0,630.0,0.67,207.9,FULL-TIME,FOUNDER,WEEKEND,weekday,
715005 Paycation Launch,2015-07-17,2011-07-18,SERVICE,SETUP_RESET,50.0,4.0,200.0,1.0,0.0,FULL-TIME,FOUNDER,WEEKEND,weekday,
715005 Paycation Launch,2015-07-17,2011-07-18,SERVICE,JANITORIAL,250.0,1.0,250.0,1.0,0.0,FULL-TIME,FOUNDER,WEEKEND,weekday,
715005 Paycation Launch,2015-07-17,2011-07-18,SERVICE,A/V,40.0,5.0,200.0,0.0,200.0,FULL-TIME,FOUNDER,WEEKEND,weekday,
